Exchange|Security Type|Symbol|Root symbol (for opt|Listed Currency|Company name|Additional company n|ISIN code|Contract name|Local instrument cod|Country|Market specific secu|Market specific segm|Listing market for t|Original exchange co|Exchange code|QS Symbol Suffix|Sedol|MS Performance ID|Global ID investment|MS Listing Exchange |MS Extended Support |Morningstar ID|Fund Type
146|1|1AD||AUD|ADALTA FPO [1AD]||AU0000001AD2|||AU||EQT|146||XASX|ax||0P00018JPY|Equity|ASX|0||
146|1|1AG||AUD|ALTERRA FPO [1AG]||AU0000001AG5|||AU||EQT|146||XASX|ax||0P0000FTSV|Equity|ASX|0||
146|1|1AL||AUD|ONEALL FPO [1AL]||AU0000001AL5|||AU||EQT|146||XASX|ax||0P00016W03|Equity|ASX|0||
146|1|1PG||AUD|1 PAGE FPO [1PG]||AU0000001PG3|||AU||EQT|146||XASX|ax||0P00006Y1B|Equity|ASX|0||
146|1|1ST||AUD|1ST AVAIL FPO [1ST]||AU0000001ST0|||AU||EQT|146||XASX|ax||0P0001608U|Equity|ASX|0||
146|1|3DP||AUD|POINTERRA FPO [3DP]||AU0000003DP6|||AU||EQT|146||XASX|ax||0P0000D6LH|Equity|ASX|0||
146|1|3PL||AUD|3PLEARNING FPO [3PL]||AU0000003PL9|||AU||EQT|146||XASX|ax||0P00013MF1|Equity|ASX|0||
146|1|4DS||AUD|4DSMEMORY FPO [4DS]||AU0000004DS8|||AU||EQT|146||XASX|ax||0P0000RV1U|Equity|ASX|0||
146|1|88E||AUD|88 ENERGY FPO [88E]||AU00000088E2|||AU||EQT|146||XASX|ax||0P00006WFU|Equity|ASX|0||
146|1|88EO||AUD|88 ENERGY OPT MAR18 [88EO]||AU0000088EO8|||AU||EQT|146||XASX|ax|||||0||
146|1|8CO||AUD|8COMMONLTD FPO [8CO]||AU0000008CO0|||AU||EQT|146||XASX|ax||0P00013Y31|Equity|ASX|0||
146|1|8EC||AUD|8IP EMERG FPO [8EC]||AU0000008EC1|||AU||EQT|146||XASX|ax||0P00016YXJ|Equity|ASX|0||
146|1|8ECO||AUD|8IP EMERG OPT DEC16 [8ECO]||AU000008ECO5|||AU||EQT|146||XASX|ax|||||0||
146|1|8IH||AUD|8I HOLD CDI 1:1 [8IH]||AU0000008IH1|||AU||EQT|146||XASX|ax||0P000152U2|Depository-Receipt|ASX|0||
146|1|9SP||AUD|9SPOKES FPO NZ [9SP]||NZ9SPE0001S1|||AU||EQT|146||XASX|ax||0P000185ND|Equity|ASX|0||
146|1|A2M||AUD|A2 MILK FPO NZ [A2M]||NZATME0002S8|||AU||EQT|146||XASX|ax||0P00015NU3|Equity|ASX|0||
146|1|A3D||AUD|AURORALABS FPO [A3D]||AU000000A3D7|||AU||EQT|146||XASX|ax||0P00018J4P|Equity|ASX|0||
146|1|AAC||AUD|AUST AG CO FPO [AAC]||AU000000AAC9|||AU||EQT|146||XASX|ax||0P00006W9O|Equity|ASX|0||
146|1|AAD||AUD|ARDENT LEI STAPLED [AAD]||AU000000AAD7|||AU||EQT|146||XASX|ax||0P00009Y1B|Equity|ASX|0||
146|1|AAI||AUD|ALCOA CDI 1:1 [AAI]||AU000000AAI6|||AU||EQT|146||XASX|ax||0P00006XU1|Depository-Receipt|ASX|0||
146|1|AAJ||AUD|ARUMA RES FPO [AAJ]||AU000000AAJ4|||AU||EQT|146||XASX|ax||0P0000O2RT|Equity|ASX|0||
146|1|AAK||AUD|AUSTCHINA FPO 2C [AAK]||BMG063671090|||AU||EQT|146||XASX|ax||0P00006WY8|Equity|ASX|0||
146|1|AAL||AUD|APAC COAL FPO [AAL]||AU000000AAL0|||AU||EQT|146||XASX|ax||0P0000FTSP|Equity|ASX|0||
146|1|AAP||AUD|AUSAGRIPRO FPO [AAP]||AU000000AAP1|||AU||EQT|146||XASX|ax||0P0000A12U|Equity|ASX|0||
146|1|AAR||AUD|ANGLO FPO [AAR]||AU000000AAR7|||AU||EQT|146||XASX|ax||0P00006W8J|Equity|ASX|0||
146|1|AAU||AUD|ADCORP AUS FPO [AAU]||AU000000AAU1|||AU||EQT|146||XASX|ax||0P00006W76|Equity|ASX|0||
146|1|AAX||AUD|AUSENCO FPO [AAX]||AU000000AAX5|||AU||EQT|146||XASX|ax||0P00006XUQ|Equity|ASX|0||
146|1|AB1||AUD|ANIMOCA FPO [AB1]||AU000000AB15|||AU||EQT|146||XASX|ax||0P0000A1MP|Equity|ASX|0||
146|1|ABA||AUD|AUSWIDE FPO [ABA]||AU000000ABA1|||AU||EQT|146||XASX|ax||0P00006X23|Equity|ASX|0||
146|1|ABC||AUD|ADEL BRTN FPO [ABC]||AU000000ABC7|||AU||EQT|146||XASX|ax||0P00006W78|Equity|ASX|0||
146|1|ABL||AUD|ABILENEOIL FPO [ABL]||AU000000ABL8|||AU||EQT|146||XASX|ax||0P00006WH3|Equity|ASX|0||
146|1|ABP||AUD|ABACUS STAPLED [ABP]||AU000000ABP9|||AU||EQT|146||XASX|ax||0P00009XZV|Equity|ASX|0||
146|1|ABT||AUD|ABUNDANT FPO [ABT]||AU000000ABT1|||AU||EQT|146||XASX|ax||0P000172EG|Equity||0||
146|1|ABU||AUD|ABM RES FPO [ABU]||AU000000ABU9|||AU||EQT|146||XASX|ax||0P00006XTE|Equity|ASX|0||
146|1|ABV||AUD|ADV BRAKE FPO [ABV]||AU000000ABV7|||AU||EQT|146||XASX|ax||0P00006Y6O|Equity|ASX|0||
