Date,Title,Link
31 May 2016,VGL: Change in substantial holding from WBC,http://ir.iguana2.com/westpac/news-item?S=VGL&E=ASX&N=450194
30 May 2016,Letters to Westpac TPS holders-Westpac Capital Notes 4 Offer,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=953608
27 May 2016,SWL: Becoming a substantial holder from WBC,http://ir.iguana2.com/westpac/news-item?S=SWL&E=ASX&N=953377
27 May 2016,Westpac Self-Funding Instalments over securities in ORI,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=953318
27 May 2016,WBC-NZ Banking Group Disclosure Statement - 31 March 2016,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=953317
26 May 2016,VGL: Change in substantial holding from WBC,http://ir.iguana2.com/westpac/news-item?S=VGL&E=ASX&N=449951
26 May 2016,Westpac Capital Notes 4 Replacement Prospectus,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=952994
25 May 2016,STW: Change in substantial holding from WBC,http://ir.iguana2.com/westpac/news-item?S=STW&E=ASX&N=952952
25 May 2016,BAP: Becoming a substantial holder from WBC,http://ir.iguana2.com/westpac/news-item?S=BAP&E=ASX&N=449890
25 May 2016,Interest Payment - WBCHA,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=952940
25 May 2016,Interest Payment - WBCHB,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=952939
25 May 2016,WNZL Disclosure Statement for 6 months ended 31 March 2016,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=952915
24 May 2016,VLW: Becoming a substantial holder from WBC,http://ir.iguana2.com/westpac/news-item?S=VLW&E=ASX&N=952755
23 May 2016,Westpac Capital Notes 4 completion of Bookbuild announcement,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=952586
23 May 2016,AYS: Ceasing to be a substantial holder from WBC,http://ir.iguana2.com/westpac/news-item?S=AYS&E=ASX&N=952573
20 May 2016,AYS: Change in substantial holding from WBC,http://ir.iguana2.com/westpac/news-item?S=AYS&E=ASX&N=952376
19 May 2016,Revised Westpac Capital Notes 4 Investor Presentation,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=952218
19 May 2016,VGL: Change in substantial holding from WBC,http://ir.iguana2.com/westpac/news-item?S=VGL&E=ASX&N=449598
19 May 2016,Westpac Self-Funding Instalments over securities in IPL,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=952176
19 May 2016,ASX Notice under s708A(12H)(e) of the Corporations Act,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=952174
18 May 2016,3PL: Becoming a substantial holder from WBC,http://ir.iguana2.com/westpac/news-item?S=3PL&E=ASX&N=951993
18 May 2016,WBCHBN - 4.125% Instruments due 4 June 2026,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=951938
17 May 2016,Westpac Capital Notes 4 Offer Letter to Westpac TPS holders,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=922796
17 May 2016,Postcard to be sent to Eligible Securityholders,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=922793
17 May 2016,Appendix 3B - Interim,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=922791
17 May 2016,Westpac Capital Notes 4 Investor Presentation,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=922789
17 May 2016,Westpac Capital Notes 4 Offer Announcement,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=922787
17 May 2016,Westpac Capital Notes 4 Prospectus,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=922786
16 May 2016,Westpac Self-Funding Instalments over securities in WBC,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=922747
16 May 2016,Appendix 3B,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=922679
16 May 2016,RWH: Change in substantial holding from WBC,http://ir.iguana2.com/westpac/news-item?S=RWH&E=ASX&N=922670
13 May 2016,RWH: Becoming a substantial holder from WBC,http://ir.iguana2.com/westpac/news-item?S=RWH&E=ASX&N=922452
13 May 2016,Westpac VIEWs over securities in NAB,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=922384
13 May 2016,Westpac Self-Funding Instalments over securities in NAB,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=922383
13 May 2016,Westpac Self-Funding Instalments over securities in MQG,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=922382
11 May 2016,Dividend Announcement WBC SFI,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=922014
11 May 2016,Westpac Self-Funding Instalments over securities in WBC,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=921992
10 May 2016,Westpac Self-Funding Instalments over securities in WBC,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=921737
09 May 2016,259C Exemption Notice,http://ir.iguana2.com/westpac/news-item?S=WBC&E=ASX&N=921545
05 May 2016,ASB: Ceasing to be a substantial holder from WBC,http://ir.iguana2.com/westpac/news-item?S=ASB&E=ASX&N=762911
05 May 2016,3PL: Ceasing to be a substantial holder from WBC,http://ir.iguana2.com/westpac/news-item?S=3PL&E=ASX&N=921125
